NUTS_3,LAU1_NAT_CODE,LAU1_NAME,CHANGE,LAU2_NAT_CODE,NAME_1,NAME_2_LAT,POP,AREA
DK022,326,Kalundborg,no,7222,Lille Fuglede Sogn,,762,8200000
DK022,326,Kalundborg,no,7223,Sæby Sogn,,543,10700000
DK022,326,Kalundborg,no,7224,Hallenslev Sogn,,240,8800000
DK022,326,Kalundborg,no,7225,Buerup Sogn,,510,28400000
DK022,326,Kalundborg,no,7226,Reerslev Sogn,,512,19400000
DK022,340,Sorø,no,7227,Ruds Vedby Sogn,,2074,16500000
DK022,340,Sorø,no,7228,Tersløse Sogn,,4633,19700000
DK022,340,Sorø,no,7229,Skellebjerg Sogn,,433,12100000
DK022,340,Sorø,no,7230,Niløse Sogn,,709,18800000
DK022,326,Kalundborg,no,7231,Ørslev Sogn,,338,16600000
DK022,326,Kalundborg,no,7232,Solbjerg Sogn,,254,7500000
DK022,330,Slagelse,no,7233,Havrebjerg Sogn,,590,11500000
DK022,326,Kalundborg,no,7234,Gierslev Sogn,,840,21000000
DK022,326,Kalundborg,no,7235,Finderup Sogn,,5009,23800000
DK022,326,Kalundborg,no,7236,Gørlev Sogn,,2844,19800000
DK022,326,Kalundborg,no,7237,Bakkendrup Sogn,,176,6800000
DK022,326,Kalundborg,no,7238,Kirke Helsinge Sogn,,1205,22400000
DK022,326,Kalundborg,no,7239,Drøsselbjerg Sogn,,521,13600000
DK022,340,Sorø,no,7245,Stenlille Sogn,,2500,22300000
DK022,316,Holbæk,no,7246,Orø Sogn,,850,15000000
DK022,326,Kalundborg,no,7247,Føllenslev Sogn,,1605,22400000
DK022,326,Kalundborg,no,7248,Særslev Sogn,,1301,13900000
DK022,326,Kalundborg,no,7249,Bregninge Sogn,,1287,34800000
DK022,326,Kalundborg,no,7250,Bjergsted Sogn,,338,11600000
DK022,326,Kalundborg,no,7251,Viskinge Sogn,,1808,20200000
DK022,326,Kalundborg,no,7252,Aunsø Sogn,,1139,10700000
DK022,326,Kalundborg,no,7253,Værslev Sogn,,420,16900000
DK022,326,Kalundborg,no,7254,Jorløse Sogn,,328,12600000
DK022,306,Odsherred,no,7255,Vallekilde Sogn,,867,14500000
DK022,306,Odsherred,no,7256,Hørve Sogn,,2636,22100000
DK022,326,Kalundborg,no,7257,Sejerø Sogn,,351,12200000
DK022,306,Odsherred,no,7258,Nykøbing Sj Sogn,,6215,16200000
DK022,306,Odsherred,no,7259,Rørvig Sogn,,1581,23600000
DK022,306,Odsherred,no,7260,Odden Sogn,,1325,16400000
DK022,306,Odsherred,no,7261,Højby Sogn,,3435,39000000
DK022,306,Odsherred,no,7262,Vig Sogn,,3109,40800000
DK022,306,Odsherred,no,7263,Nørre Asmindrup Sogn,,1083,12100000
DK022,306,Odsherred,no,7264,Egebjerg Sogn,,1457,29100000
DK022,306,Odsherred,no,7265,Grevinge Sogn,,2420,41100000
DK022,306,Odsherred,no,7266,Asnæs Sogn,,3941,26300000
DK022,306,Odsherred,no,7267,Fårevejle Sogn,,3885,48000000
DK022,326,Kalundborg,no,7268,Vor Frue Sogn,,5814,5300000
DK022,326,Kalundborg,no,7269,Raklev Sogn,,6066,36800000
DK022,326,Kalundborg,no,7270,Røsnæs Sogn,,828,17900000
DK022,326,Kalundborg,no,7271,Tømmerup Sogn,,1426,23400000
DK022,326,Kalundborg,no,7272,Årby Sogn,,2024,31200000
DK022,326,Kalundborg,no,7273,Rørby Sogn,,1521,15900000
DK022,316,Holbæk,no,7274,Sankt Nikolai Sogn,,12840,8200000
DK022,316,Holbæk,no,7275,Tveje Merløse Sogn,,12154,12400000
DK022,316,Holbæk,no,7278,Nørre Jernløse Sogn,,2367,14600000
DK022,316,Holbæk,no,7279,Kvanløse Sogn,,556,14200000
DK022,316,Holbæk,no,7280,Sønder Jernløse Sogn,,642,17200000
DK022,316,Holbæk,no,7281,Søstrup Sogn,,638,7900000
DK022,316,Holbæk,no,7284,Tølløse Sogn,,4127,35200000
DK022,316,Holbæk,no,7286,Soderup Sogn,,1303,24100000
DK022,316,Holbæk,no,7287,Kirke Eskilstrup Sogn,,1170,16200000
DK022,316,Holbæk,no,7288,Store Tåstrup Sogn,,1813,31800000
DK022,316,Holbæk,no,7289,Ugerløse Sogn,,1444,19100000
DK022,316,Holbæk,no,7290,Undløse Sogn,,1560,37500000
DK022,316,Holbæk,no,7291,Søndersted Sogn,,379,11600000
DK022,316,Holbæk,no,7294,Hagested Sogn,,1225,25300000
DK022,316,Holbæk,no,7295,Gislinge Sogn,,1682,14300000
DK022,316,Holbæk,no,7296,Kundby Sogn,,1731,40300000
DK022,316,Holbæk,no,7299,Jyderup Sogn,,4565,16400000
DK022,316,Holbæk,no,7300,Holmstrup Sogn,,471,22600000
DK022,370,Næstved,no,7304,Karrebæk Sogn,,2409,25500000
DK022,370,Næstved,no,7305,Fodby Sogn,,730,20600000
DK022,370,Næstved,no,7306,Herlufsholm Sogn,,6305,17600000
DK022,370,Næstved,no,7307,Gunderslev Sogn,,380,21100000
DK022,330,Slagelse,no,7308,Skælskør Sogn,,3935,5700000
DK022,330,Slagelse,no,7309,Eggeslevmagle Sogn,,3174,25700000
DK022,330,Slagelse,no,7310,Høve Sogn,,347,11400000
DK022,330,Slagelse,no,7311,Flakkebjerg Sogn,,708,8600000
DK022,330,Slagelse,no,7312,Skørpinge Sogn,,228,8000000
DK022,330,Slagelse,no,7313,Fårdrup Sogn,,266,9000000
DK022,330,Slagelse,no,7314,Sørbymagle Sogn,,1577,18200000
DK022,330,Slagelse,no,7315,Kirkerup Sogn,,328,15700000
DK022,330,Slagelse,no,7316,Gimlinge Sogn,,1438,19100000
DK022,370,Næstved,no,7317,Hårslev Sogn,,783,9900000
DK022,370,Næstved,no,7318,Ting Jellinge Sogn,,131,4200000
DK022,330,Slagelse,no,7319,Hyllested Sogn,,367,10500000
DK022,330,Slagelse,no,7320,Venslev Sogn,,187,8600000
DK022,330,Slagelse,no,7321,Holsteinborg Sogn,,891,11200000
DK022,330,Slagelse,no,7322,Ørslev Sogn,,226,14000000
DK022,330,Slagelse,no,7323,Sønder Bjerge Sogn,,357,9200000
DK022,330,Slagelse,no,7324,Tjæreby Sogn,,718,28400000
DK022,330,Slagelse,no,7325,Magleby Sogn,,534,25300000
DK022,330,Slagelse,no,7326,Agersø Sogn,,174,7600000
DK022,330,Slagelse,no,7327,Omø Sogn,,156,4400000
DK022,370,Næstved,no,7328,Tystrup Sogn,,339,15500000
DK022,370,Næstved,no,7329,Haldagerlille Sogn,,191,8200000
DK022,370,Næstved,no,7330,Krummerup Sogn,,455,19500000
DK022,370,Næstved,no,7331,Fuglebjerg Sogn,,2300,9600000
DK022,370,Næstved,no,7332,Førslev Sogn,,1036,22700000
DK022,370,Næstved,no,7333,Vallensved Sogn,,603,19300000
DK022,370,Næstved,no,7334,Marvede Sogn,,574,16100000
DK022,370,Næstved,no,7335,Hyllinge Sogn,,779,17400000
DK022,370,Næstved,no,7336,Kvislemark Sogn,,191,5700000
DK022,370,Næstved,no,7337,Fyrendal Sogn,,735,19900000
DK022,340,Sorø,no,7338,Munke Bjergby Sogn,,1212,24500000
DK022,340,Sorø,no,7339,Bromme Sogn,,378,15400000
DK022,329,Ringsted,no,7340,Gyrstinge Sogn,,822,19900000
DK022,340,Sorø,no,7341,Kirke Flinterup Sogn,,302,13100000
DK022,340,Sorø,no,7342,Stenmagle Sogn,,1512,33600000
DK022,329,Ringsted,no,7343,Bringstrup Sogn,,403,13900000
DK022,329,Ringsted,no,7344,Sigersted Sogn,,445,12900000
DK022,330,Slagelse,no,7345,Sankt Mikkels Sogn,,9736,3300000
DK022,330,Slagelse,no,7346,Hejninge Sogn,,165,6700000
DK022,330,Slagelse,no,7347,Sankt Peders Sogn,,9914,18300000
DK022,330,Slagelse,no,7348,Sankt Povls Sogn,,7143,6500000
DK022,330,Slagelse,no,7349,Tårnborg Sogn,,2701,24000000
DK022,330,Slagelse,no,7350,Sønderup Sogn,,474,10800000
DK022,330,Slagelse,no,7351,Nordrupvester Sogn,,362,14800000
DK022,330,Slagelse,no,7352,Gudum Sogn,,117,5300000
DK022,330,Slagelse,no,7353,Sorterup Sogn,,348,14000000
DK022,330,Slagelse,no,7354,Ottestrup Sogn,,912,15300000
DK022,330,Slagelse,no,7355,Slots Bjergby Sogn,,939,8500000
DK022,330,Slagelse,no,7356,Sludstrup Sogn,,315,7200000
DK022,330,Slagelse,no,7357,Lundforlund Sogn,,185,6600000
DK022,330,Slagelse,no,7358,Gerlev Sogn,,221,7900000
DK022,330,Slagelse,no,7359,Kirke Stillinge Sogn,,2409,39300000
DK022,330,Slagelse,no,7360,Vemmelev Sogn,,2958,20800000
DK022,330,Slagelse,no,7361,Hemmeshøj Sogn,,414,13300000
DK022,330,Slagelse,no,7362,Boeslunde Sogn,,1428,29400000
DK022,329,Ringsted,no,7363,Ringsted Sogn,,17510,37500000
DK022,329,Ringsted,no,7364,Benløse Sogn,,5272,11900000
DK022,329,Ringsted,no,7365,Haraldsted Sogn,,1029,32400000
DK022,329,Ringsted,no,7366,Allindemagle Sogn,,275,10000000
DK022,329,Ringsted,no,7367,Jystrup Sogn,,1050,12100000
DK022,329,Ringsted,no,7368,Valsølille Sogn,,408,21800000
DK022,329,Ringsted,no,7369,Vigersted Sogn,,1376,20900000
DK022,329,Ringsted,no,7370,Kværkeby Sogn,,1297,25500000
DK022,329,Ringsted,no,7371,Nordrupøster Sogn,,600,22100000
DK022,329,Ringsted,no,7372,Farendløse Sogn,,562,7100000
DK022,329,Ringsted,no,7373,Vetterslev Sogn,,691,9400000
DK022,329,Ringsted,no,7374,Høm Sogn,,632,7800000
DK022,320,Faxe,no,7375,Øde Førslev Sogn,,712,14300000
DK022,329,Ringsted,no,7376,Sneslev Sogn,,689,15400000
DK022,320,Faxe,no,7377,Terslev Sogn,,1691,38300000
DK022,329,Ringsted,no,7378,Ørslev Sogn,,904,14200000
DK022,320,Faxe,no,7379,Haslev Sogn,,11866,23000000
DK022,320,Faxe,no,7380,Freerslev Sogn,,219,9700000
DK022,320,Faxe,no,7381,Teestrup Sogn,,915,23200000
DK022,320,Faxe,no,7382,Bråby Sogn,,386,22200000
DK022,340,Sorø,no,7383,Sorø Sogn,,5318,4400000
DK022,340,Sorø,no,7384,Pedersborg Sogn,,3003,17400000
DK022,330,Slagelse,no,7385,Kindertofte Sogn,,170,18500000
DK022,340,Sorø,no,7386,Lynge Sogn,,4406,35400000
DK022,340,Sorø,no,7387,Vester Broby Sogn,,415,12600000
DK022,340,Sorø,no,7388,Alsted Sogn,,512,17100000
DK022,340,Sorø,no,7389,Fjenneslev Sogn,,1053,13100000
DK022,340,Sorø,no,7390,Slaglille Sogn,,495,16500000
DK022,340,Sorø,no,7391,Bjernede Sogn,,586,16000000
DK013,270,Gribskov,no,7392,Blistrup Sogn,,4680,22000000
DK013,270,Gribskov,no,7393,Vejby Sogn,,2982,22500000
DK013,270,Gribskov,no,7394,Tibirke Sogn,,1920,25500000
DK013,270,Gribskov,no,7395,Ramløse Sogn,,3115,22600000
DK013,270,Gribskov,no,7396,Annisse Sogn,,2267,20600000
DK013,260,Halsnæs,no,7397,Frederiksværk Sogn,,236,0
DK013,260,Halsnæs,no,7399,Kregme Sogn,,4179,30300000
DK013,260,Halsnæs,no,7400,Ølsted Sogn,,3156,17900000
DK013,219,Hillerød,no,7401,Tjæreby Sogn,,625,13100000
DK013,219,Hillerød,no,7402,Alsønderup Sogn,,2631,19400000
DK013,219,Hillerød,no,7403,Skævinge Sogn,,2825,10000000
DK013,219,Hillerød,no,7404,Lille Lyngby Sogn,,2171,32200000
DK013,219,Hillerød,no,7405,Strø Sogn,,587,14300000
DK013,219,Hillerød,no,7406,Gørløse Sogn,,1468,12400000
DK013,260,Halsnæs,no,7407,Melby Sogn,,4790,27300000
DK013,260,Halsnæs,no,7408,Torup Sogn,,9547,31700000
DK013,240,Egedal,no,7409,Ølstykke Sogn,,14948,17800000
DK013,240,Egedal,no,7410,Stenløse Sogn,,7605,23500000
DK013,240,Egedal,no,7411,Veksø Sogn,,2072,7800000
DK013,240,Egedal,no,7412,Slagslunde Sogn,,1555,10200000
DK013,240,Egedal,no,7413,Ganløse Sogn,,3550,23800000
DK013,190,Furesø,no,7414,Farum Sogn,,20205,22700000
DK013,219,Hillerød,no,7415,Hillerød Sogn,,5446,2000000
DK013,219,Hillerød,no,7416,Nørre Herlev Sogn,,2471,21800000
DK013,219,Hillerød,no,7417,Præstevang Sogn,,7709,7400000
DK013,250,Frederikssund,no,7418,Frederikssund Sogn,,6823,5000000
DK013,250,Frederikssund,no,7419,Oppe Sundby Sogn,,5518,9200000
DK013,250,Frederikssund,no,7420,Snostrup Sogn,,931,9800000
DK013,250,Frederikssund,no,7421,Slangerup Sogn,,7341,20000000
DK013,219,Hillerød,no,7422,Uvelse Sogn,,1342,12900000
DK013,250,Frederikssund,no,7422,Uvelse Sogn,,47,0
DK013,250,Frederikssund,no,7423,Græse Sogn,,2681,6900000
DK013,250,Frederikssund,no,7424,Sigerslevvester Sogn,,317,5800000
DK013,201,Allerød,no,7425,Lynge Sogn,,2840,15000000
DK013,201,Allerød,no,7426,Uggeløse Sogn,,2491,20600000
DK013,240,Egedal,no,7427,Jørlunde Sogn,,1639,11300000
DK013,250,Frederikssund,no,7427,Jørlunde Sogn,,814,12700000
DK013,270,Gribskov,no,7428,Esbønderup Sogn,,2105,43700000
DK013,219,Hillerød,no,7429,Nødebo Sogn,,2040,23200000
DK013,270,Gribskov,no,7430,Søborg Sogn,,1560,23400000
DK013,270,Gribskov,no,7431,Gilleleje Sogn,,6600,8500000
DK013,270,Gribskov,no,7432,Græsted Sogn,,5054,27200000
DK013,270,Gribskov,no,7433,Mårum Sogn,,1067,12300000
DK013,270,Gribskov,no,7434,Helsinge Sogn,,8035,23400000
DK013,270,Gribskov,no,7435,Valby Sogn,,541,18400000
DK013,219,Hillerød,no,7436,Frederiksborg Slotssogn,,7679,16600000
DK013,217,Helsingør,no,7437,Sankt Olai Sogn,,9746,2400000
DK013,217,Helsingør,no,7438,Sankt Mariæ Sogn,,4562,6200000
DK013,217,Helsingør,no,7439,Vestervang Sogn,,11031,5500000
DK013,217,Helsingør,no,7440,Tikøb Sogn,,2866,38600000
DK013,217,Helsingør,no,7441,Hornbæk Sogn,,5236,27000000
DK013,217,Helsingør,no,7442,Hellebæk Sogn,,5973,13400000
DK013,217,Helsingør,no,7443,Egebæksvang Sogn,,4619,2900000
DK013,210,Fredensborg,no,7444,Asminderød Sogn,,9539,41000000
DK013,210,Fredensborg,no,7445,Grønholt Sogn,,1198,16400000
DK013,210,Fredensborg,no,7446,Humlebæk Sogn,,9820,14600000
DK013,230,Rudersdal,no,7447,Birkerød Sogn,,14462,26500000
DK013,230,Rudersdal,no,7448,Bistrup Sogn,,8638,7200000
DK013,201,Allerød,no,7449,Blovstrød Sogn,,3217,16500000
DK013,223,Hørsholm,no,7449,Blovstrød Sogn,,404,12700000
