NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,,,,,,,,,,,,,,,,,DEGURBA,COASTAL,URAU_CITY_ID,URAU_CITY_NAME,URAU_KERNEL_ID,URAU_KERNEL_NAME,URAU_FUA_ID,URAU_FUA_NAME,GRD_POPL,URB_CLST_GRD_POPL,HDENS_CLST_GRD_POPL
IE021,01,02015,no,Ballymun A,Ballymun A,n.a,95000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02016,no,Ballymun B,Ballymun B,n.a,65000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02017,no,Ballymun C,Ballymun C,n.a,77000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02018,no,Ballymun D,Ballymun D,n.a,48000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02019,no,Ballymun E,Ballymun E,n.a,35000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02020,no,Ballymun F,Ballymun F,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02021,no,Beaumont A,Beaumont A,n.a,51000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02022,no,Beaumont B,Beaumont B,n.a,86000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02023,no,Beaumont C,Beaumont C,n.a,60000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02024,no,Beaumont D,Beaumont D,n.a,42000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02025,no,Beaumont E,Beaumont E,n.a,35000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02026,no,Beaumont F,Beaumont F,n.a,55000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02027,no,Botanic A,Botanic A,n.a,129000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02028,no,Botanic B,Botanic B,n.a,49000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02029,no,Botanic C,Botanic C,n.a,29000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02030,no,Cabra East A,Cabra East A,n.a,141000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
