NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,
HR044,,01511,no,Breznički Hum,Breznički Hum,1337,n.a.,
HR043,,01520,no,Hum Na Sutli,Hum Na Sutli,5034,n.a.,
HR035,,01538,no,Hvar,Hvar,3738,n.a.,
HR04C,,01546,no,Ilok,Ilok,5036,n.a.,
HR035,,01554,no,Imotski,Imotski,4836,n.a.,
HR044,,01562,no,Ivanec,Ivanec,5252,n.a.,
HR042,,01589,no,Ivanić-Grad,Ivanić-Grad,14544,n.a.,
HR04C,,01597,no,Ivankovo,Ivankovo,7977,n.a.,
HR047,,01619,no,Ivanska,Ivanska,2927,n.a.,
HR042,,01635,no,Jakovlje,Jakovlje,3939,n.a.,
HR049,,01643,no,Jakšić,Jakšić,4020,n.a.,
HR044,,01651,no,Jalžabet,Jalžabet,3606,n.a.,
HR04C,,01660,no,Jarmina,Jarmina,2435,n.a.,
HR033,,01678,no,Jasenice,Jasenice,1402,n.a.,
HR04E,,01686,no,Jasenovac,Jasenovac,2002,n.a.,
HR042,,01694,no,Jastrebarsko,Jastrebarsko,15897,n.a.,
HR031,,01708,no,Jelenje,Jelenje,5321,n.a.,
HR035,,01716,no,Jelsa,Jelsa,3560,n.a.,
HR04D,,01724,no,Josipdol,Josipdol,3702,n.a.,
HR033,,01732,no,Kali,Kali,1656,n.a.,
HR036,,01759,no,Kanfanar,Kanfanar,1538,n.a.,
HR047,,01767,no,Kapela,Kapela,2973,n.a.,
HR049,,01775,no,Kaptol,Kaptol,3449,n.a.,
HR032,,01783,no,Karlobag,Karlobag,923,n.a.,
HR04D,,01791,no,Karlovac,Karlovac,46827,n.a.,
HR031,,01805,no,Kastav,Kastav,10445,n.a.,
HR035,,01813,no,Kaštela,Kaštela,38474,n.a.,
HR034,,01830,no,Kijevo,Kijevo,405,n.a.,
HR034,,01848,no,Kistanje,Kistanje,3537,n.a.,
HR04A,,01856,no,Klakar,Klakar,2321,n.a.,
HR031,,01864,no,Klana,Klana,1978,n.a.,
HR043,,01872,no,Klanjec,Klanjec,565,n.a.,
HR044,,01899,no,Klenovnik,Klenovnik,2015,n.a.,
HR042,,01902,no,Klinča Sela,Klinča Sela,5242,n.a.,
HR035,,01929,no,Klis,Klis,4739,n.a.,
HR042,,01937,no,Kloštar Ivanić,Kloštar Ivanić,6081,n.a.,
HR045,,01945,no,Kloštar Podravski,Kloštar Podravski,3303,n.a.,
HR04B,,01953,no,Kneževi Vinogradi,Kneževi Vinogradi,4560,n.a.,
HR034,,01961,no,Knin,Knin,10493,n.a.,
HR035,,01970,no,Komiža,Komiža,1375,n.a.,
HR037,,01988,no,Konavle,Konavle,8571,n.a.,
HR047,,01996,no,Končanica,Končanica,2349,n.a.,
HR043,,02003,no,Konjščina,Konjščina,3987,n.a.,
HR045,,02011,no,Koprivnica,Koprivnica,23896,n.a.,
HR045,,02020,no,Koprivnički Bregi,Koprivnički Bregi,2403,n.a.,
HR045,,02038,no,Koprivnički Ivanec,Koprivnički Ivanec,2110,n.a.,
HR037,,02046,no,Korčula,Korčula,2839,n.a.,
HR04B,,02054,no,Koška,Koška,3992,n.a.,
HR046,,02062,no,Kotoriba,Kotoriba,3232,n.a.,
HR043,,02089,no,Kraljevec Na Sutli,Kraljevec Na Sutli,1723,n.a.,
HR031,,02097,no,Kraljevica,Kraljevica,2797,n.a.,
HR043,,02119,no,Krapina,Krapina,4482,n.a.,
HR043,,02127,no,Krapinske Toplice,Krapinske Toplice,5358,n.a.,
HR042,,02135,no,Križ,Križ,6962,n.a.,
HR045,,02143,no,Križevci,Križevci,11219,n.a.,
HR031,,02151,no,Krk,Krk,3662,n.a.,
HR04D,,02160,no,Krnjak,Krnjak,2019,n.a.,
HR036,,02178,no,Kršan,Kršan,2958,n.a.,
HR037,,02194,no,Kula Norinska,Kula Norinska,1776,n.a.,
HR04E,,02208,no,Kutina,Kutina,13773,n.a.,
HR049,,02216,no,Kutjevo,Kutjevo,2399,n.a.,
