LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
1721,Verdal,NO062,14094,1547620
1724,Verran,NO062,2948,601560
1725,Namdalseid,NO062,1717,769550
1756,Inderøy,NO062,5836,145820
1736,Snåsa,NO062,2176,2342840
1738,Lierne,NO062,1480,2962030
1739,Røyrvik,NO062,499,1584330
1740,Namsskogan,NO062,916,1416810
1742,Grong,NO062,2377,1136160
1743,Høylandet,NO062,1273,754710
1744,Overhalla,NO062,3507,729290
1748,Fosnes,NO062,687,544860
1749,Flatanger,NO062,1138,460230
1750,Vikna,NO062,4034,318390
1751,Nærøy,NO062,5015,1066350
1755,Leka,NO062,589,110240
1804,Bodø,NO071,46049,1392080
1805,Narvik,NO071,18384,2022620
1811,Bindal,NO071,1631,1264710
1812,Sømna,NO071,2056,193740
1813,Brønnøy,NO071,7535,1041770
1815,Vega,NO071,1295,163370
1816,Vevelstad,NO071,485,538800
1818,Herøy,NO071,1683,64590
1820,Alstahaug,NO071,7207,187170
1822,Leirfjord,NO071,2090,465300
1824,Vefsn,NO071,13424,1928500
1825,Grane,NO071,1537,2008520
1826,Hattfjelldal,NO071,1463,2684490
1827,Dønna,NO071,1463,194230
1828,Nesna,NO071,1792,183120
1832,Hemnes,NO071,4478,1588780
1833,Rana,NO071,25092,4460460
1834,Lurøy,NO071,1899,263840
1835,Træna,NO071,451,16340
1836,Rødøy,NO071,1314,711890
1837,Meløy,NO071,6622,873200
1838,Gildeskål,NO071,2046,661940
1839,Beiarn,NO071,1128,1221950
1840,Saltdal,NO071,4710,2215270
1841,Fauske,NO071,9480,1210430
1845,Sørfold,NO071,2000,1635920
1848,Steigen,NO071,2672,1006770
1849,Hamarøy,NO071,1761,1031290
1850,Tysfjord,NO071,2028,1463760
1851,Lødingen,NO071,2279,524250
1852,Tjeldsund,NO071,1338,317390
1853,Evenes,NO071,1358,252300
1854,Ballangen,NO071,2652,931200
1856,Røst,NO071,622,10570
1857,Værøy,NO071,743,17660
1859,Flakstad,NO071,1441,178070
1860,Vestvågøy,NO071,10710,423140
1865,Vågan,NO071,8933,477500
1866,Hadsel,NO071,7970,566380
1867,Bø,NO071,2867,247080
1868,Øksnes,NO071,4424,319150
1870,Sortland,NO071,9678,722370
1871,Andøy,NO071,5078,655620
1874,Moskenes,NO071,1128,118590
1903,Harstad,NO072,23108,371840
1902,Tromsø,NO072,65286,2566260
1911,Kvæfjord,NO072,3036,512700
1913,Skånland,NO072,2862,495020
1917,Ibestad,NO072,1511,241240
1919,Gratangen,NO072,1168,313130
1920,Lavangen,NO072,1010,301670
1922,Bardu,NO072,3994,2704050
1923,Salangen,NO072,2169,457890
1924,Målselv,NO072,6603,3322410
1925,Sørreisa,NO072,3312,362980
1926,Dyrøy,NO072,1232,288600
1927,Tranøy,NO072,1579,523620
1928,Torsken,NO072,937,243290
1929,Berg,NO072,937,294020
1931,Lenvik,NO072,11160,892510
1933,Balsfjord,NO072,5529,1495850
1936,Karlsøy,NO072,2404,1046920
1938,Lyngen,NO072,3208,812360
1939,Storfjord,NO072,1893,1542720
1940,Gáivuotna – Kåfjord,NO072,2248,991160
1941,Skjervøy,NO072,2934,477640
1942,Nordreisa,NO072,4665,3437640
1943,Kvænangen,NO072,1348,2108260
2002,Vardø,NO073,2190,600340
2003,Vadsø,NO073,6062,1258060
2004,Hammerfest,NO073,9407,848660
2011,Kautokeino,NO073,2947,9708130
2012,Alta,NO073,18272,3849440
2014,Loppa,NO073,1106,686790
2015,Hasvik,NO073,998,556180
2017,Kvalsund,NO073,1101,1844020
2018,Måsøy,NO073,1333,1134330
2019,Nordkapp,NO073,3219,924970
2020,Porsanger,NO073,4059,4873920
2021,Karasjok,NO073,2866,5452860
2022,Lebesby,NO073,1304,3458260
2023,Gamvik,NO073,1040,1415250
2024,Berlevåg,NO073,1077,1120120
2025,Tana,NO073,2954,4049230
2027,Nesseby,NO073,856,1436090
2028,Båtsfjord,NO073,2090,1433370
2030,Sør-Varanger,NO073,9518,3967710
