Type,Scope,Prefix,Tag,Subtag,Suppress-Script,Description,Macrolanguage,Added,Deprecated,Preferred-Value,Comments
language,,,,ane,,Xârâcùù,,7/29/2009,,,
language,,,,anf,,Animere,,7/29/2009,,,
language,,,,ang,,Old English (ca. 450-1100),,10/16/2005,,,
language,,,,anh,,Nend,,7/29/2009,,,
language,,,,ani,,Andi,,7/29/2009,,,
language,,,,anj,,Anor,,7/29/2009,,,
language,,,,ank,,Goemai,,7/29/2009,,,
language,,,,anl,,Anu-Hkongso Chin,,7/29/2009,,,
language,,,,anm,,Anal,,7/29/2009,,,
language,,,,ann,,Obolo,,7/29/2009,,,
language,,,,ano,,Andoque,,7/29/2009,,,
language,,,,anp,,Angika,,3/8/2006,,,
language,,,,anq,,Jarawa (India),,7/29/2009,,,
language,,,,anr,,Andh,,7/29/2009,,,
language,,,,ans,,Anserma,,7/29/2009,,,
language,,,,ant,,Antakarinya,,7/29/2009,,,
language,,,,anu,,Anuak,,7/29/2009,,,
language,,,,anv,,Denya,,7/29/2009,,,
language,,,,anw,,Anaang,,7/29/2009,,,
language,,,,anx,,Andra-Hus,,7/29/2009,,,
language,,,,any,,Anyin,,7/29/2009,,,
language,,,,anz,,Anem,,7/29/2009,,,
language,,,,aoa,,Angolar,,7/29/2009,,,
language,,,,aob,,Abom,,7/29/2009,,,
