Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
FI,Muu yhteisvast.pidätysvelvollinen,,,782,,,,,,,,
FI,Elinkeinoyhtymä,,,744,,,,,,,,
FI,Julkinen osakeyhtiö,,,335,,,,,,,,
FI,Yhteismetsä,,,180,,,,,,,,
FI,Rekisteröity uskonnollinen yhdyskunta,,,167,,,,,,,,
FI,Erityislainsäädäntöön perustuva yhdistys,,,166,,,,,,,,
FI,Muu verotuksen yksikkö,,,156,,,,,,,,
FI,Muu säätiö,,,155,,,,,,,,
FI,Muu taloudellinen yhdistys,,,123,,,,,,,,
FI,Eläkesäätiö,,,100,,,,,,,,
FI,Muu kiinteistöosakeyhtiö,,,75,,,,,,,,
FI,Ev.lut.kirkko,,,67,,,,,,,,
FI,Vakuutuskassa,,,64,,,,,,,,
FI,Valtio ja sen laitokset,,,63,,,,,,,,
FI,Osuuspankki,,,60,,,,,,,,
FI,Kuntayhtymä,,,50,,,,,,,,
FI,Kunta,,,35,,,,,,,,
FI,VOY,,,35,,,,,,,,
FI,Muu julkisoikeudellinen oikeushenkilö,,,25,,,,,,,,
FI,Muu yhtiö,,,25,,,,,,,,
FI,Metsänhoitoyhdistys,,,21,,,,,,,,
FI,Keskinäinen vakuutusyhtiö,,,20,,,,,,,,
FI,Vakuutusyhdistys,,,19,,,,,,,,
FI,Keskinäinen kiinteistöosakeyhtiö,,,17,,,,,,,,
FI,Säästöpankki,,,15,,,,,,,,
FI,Valtion liikelaitos,,,15,,,,,,,,
FI,Ylioppilaskunta tai osakunta,,,15,,,,,,,,
FI,Työeläkekassa,,,10,,,,,,,,
FI,Työttömyyskassa,,,10,,,,,,,,
FI,Taloudellinen yhdistys,,,5,,,,,,,,
FI,Laivanisännistöyhtiö,,,4,,,,,,,,
FI,Ahvenanmaan maakunta ja sen virastot,,,3,,,,,,,,
FI,Asumisoikeusyhdistys,,,3,,,,,,,,
FI,Eurooppayhtiö,,,3,,,,,,,,
FI,Eurooppalainen taloudellinen etuyhtymä,,,2,,,,,,,,
FI,Kunnallinen liikelaitos,,,2,,,,,,,,
FI,Ei yritysmuotoa,,,1,,,,,,,,
FI,Erillishallinnollinen valtion laitos,,,1,,,,,,,,
FI,Euroopp.taloudell.etuyht.sivutoimipaikka,,,1,,,,,,,,
FI,Eurooppavakuutusosakeyhtiö,,,1,,,,,,,,
FI,Hypoteekkiyhdistys,,,1,,,,,,,,
FI,Keskinäinen vahinkovak.yhdistys,,,1,,,,,,,,
FI,Ortodoksinen kirkko,,,1,,,,,,,,
FI,Vakuutusosakeyhtiö,,,1,,,,,,,,
FR,Société civile immobilière,,,1376252,,,,,,,,
