LAU2_NAT_CODE,NAME_1,NUTS_3,POP,AREA
NO-1824,Vefsn,NO071,13424,1928500
NO-1825,Grane,NO071,1537,2008520
NO-1826,Hattfjelldal,NO071,1463,2684490
NO-1827,Dønna,NO071,1463,194230
NO-1828,Nesna,NO071,1792,183120
NO-1832,Hemnes,NO071,4478,1588780
NO-1833,Rana,NO071,25092,4460460
NO-1834,Lurøy,NO071,1899,263840
NO-1835,Træna,NO071,451,16340
NO-1836,Rødøy,NO071,1314,711890
NO-1837,Meløy,NO071,6622,873200
NO-1838,Gildeskål,NO071,2046,661940
NO-1839,Beiarn,NO071,1128,1221950
NO-1840,Saltdal,NO071,4710,2215270
NO-1841,Fauske,NO071,9480,1210430
NO-1845,Sørfold,NO071,2000,1635920
NO-1848,Steigen,NO071,2672,1006770
NO-1849,Hamarøy,NO071,1761,1031290
NO-1850,Tysfjord,NO071,2028,1463760
NO-1851,Lødingen,NO071,2279,524250
NO-1852,Tjeldsund,NO071,1338,317390
NO-1853,Evenes,NO071,1358,252300
NO-1854,Ballangen,NO071,2652,931200
NO-1856,Røst,NO071,622,10570
NO-1857,Værøy,NO071,743,17660
NO-1859,Flakstad,NO071,1441,178070
NO-1860,Vestvågøy,NO071,10710,423140
NO-1865,Vågan,NO071,8933,477500
NO-1866,Hadsel,NO071,7970,566380
NO-1867,Bø,NO071,2867,247080
NO-1868,Øksnes,NO071,4424,319150
NO-1870,Sortland,NO071,9678,722370
NO-1871,Andøy,NO071,5078,655620
NO-1874,Moskenes,NO071,1128,118590
NO-1903,Harstad,NO072,23108,371840
NO-1902,Tromsø,NO072,65286,2566260
NO-1911,Kvæfjord,NO072,3036,512700
NO-1913,Skånland,NO072,2862,495020
NO-1917,Ibestad,NO072,1511,241240
NO-1919,Gratangen,NO072,1168,313130
NO-1920,Lavangen,NO072,1010,301670
NO-1922,Bardu,NO072,3994,2704050
NO-1923,Salangen,NO072,2169,457890
NO-1924,Målselv,NO072,6603,3322410
NO-1925,Sørreisa,NO072,3312,362980
NO-1926,Dyrøy,NO072,1232,288600
NO-1927,Tranøy,NO072,1579,523620
NO-1928,Torsken,NO072,937,243290
NO-1929,Berg,NO072,937,294020
NO-1931,Lenvik,NO072,11160,892510
NO-1933,Balsfjord,NO072,5529,1495850
NO-1936,Karlsøy,NO072,2404,1046920
NO-1938,Lyngen,NO072,3208,812360
NO-1939,Storfjord,NO072,1893,1542720
NO-1940,Gáivuotna – Kåfjord,NO072,2248,991160
NO-1941,Skjervøy,NO072,2934,477640
NO-1942,Nordreisa,NO072,4665,3437640
NO-1943,Kvænangen,NO072,1348,2108260
NO-2002,Vardø,NO073,2190,600340
NO-2003,Vadsø,NO073,6062,1258060
NO-2004,Hammerfest,NO073,9407,848660
NO-2011,Kautokeino,NO073,2947,9708130
NO-2012,Alta,NO073,18272,3849440
NO-2014,Loppa,NO073,1106,686790
NO-2015,Hasvik,NO073,998,556180
NO-2017,Kvalsund,NO073,1101,1844020
NO-2018,Måsøy,NO073,1333,1134330
NO-2019,Nordkapp,NO073,3219,924970
NO-2020,Porsanger,NO073,4059,4873920
NO-2021,Karasjok,NO073,2866,5452860
NO-2022,Lebesby,NO073,1304,3458260
NO-2023,Gamvik,NO073,1040,1415250
NO-2024,Berlevåg,NO073,1077,1120120
NO-2025,Tana,NO073,2954,4049230
NO-2027,Nesseby,NO073,856,1436090
NO-2028,Båtsfjord,NO073,2090,1433370
NO-2030,Sør-Varanger,NO073,9518,3967710
