GDEKT	NUTS_3	LAU1	NAME1	NAME_DE	NAME_FR	NAME_IT
SH	CH052	1406	Bezirk Unterklettgau	Bezirk Unterklettgau	Bezirk Unterklettgau	Bezirk Unterklettgau
AR	CH053	1501	Bezirk Hinterland	Bezirk Hinterland	Bezirk Hinterland	Bezirk Hinterland
AR	CH053	1502	Bezirk Mittelland	Bezirk Mittelland	Bezirk Mittelland	Bezirk Mittelland
AR	CH053	1503	Bezirk Vorderland	Bezirk Vorderland	Bezirk Vorderland	Bezirk Vorderland
AI	CH054	1600	Kanton Appenzell Innerrhoden	Kanton Appenzell Innerrhoden	Kanton Appenzell Innerrhoden	Kanton Appenzello Innerrhoden
SG	CH055	1721	Wahlkreis St. Gallen	Wahlkreis St. Gallen	Wahlkreis Saint-Gall	Wahlkreis San Gallo
SG	CH055	1722	Wahlkreis Rorschach	Wahlkreis Rorschach	Wahlkreis Rorschach	Wahlkreis Rorschach
SG	CH055	1723	Wahlkreis Rheintal	Wahlkreis Rheintal	Wahlkreis Rheintal	Wahlkreis Rheintal
SG	CH055	1724	Wahlkreis Werdenberg	Wahlkreis Werdenberg	Wahlkreis Werdenberg	Wahlkreis Werdenberg
SG	CH055	1725	Wahlkreis Sarganserland	Wahlkreis Sarganserland	Wahlkreis Sarganserland	Wahlkreis Sarganserland
SG	CH055	1726	Wahlkreis See-Gaster	Wahlkreis See-Gaster	Wahlkreis See-Gaster	Wahlkreis See-Gaster
SG	CH055	1727	Wahlkreis Toggenburg	Wahlkreis Toggenburg	Wahlkreis Toggenburg	Wahlkreis Toggenburg
SG	CH055	1728	Wahlkreis Wil	Wahlkreis Wil	Wahlkreis Wil	Wahlkreis Wil
GR	CH056	1841	Region Albula	Region Albula	Region Albula	Region Albula
GR	CH056	1842	Region Bernina	Region Bernina	Region Berneina	Region Bernaina
GR	CH056	1843	Region Engiadina Bassa / Val Müstair	Region Engiadina Bassa / Val Müstair	Region Engiadina Bassa / Val Müstair	Region Engiadina Bassa / Val Müstair
GR	CH056	1844	Region Imboden	Region Imboden	Region Imboden	Region Imboden
GR	CH056	1845	Region Landquart	Region Landquart	Region Landquart	Region Landquart
GR	CH056	1846	Region Maloja	Region Maloja	Region Maloja	Region Maloja
GR	CH056	1847	Region Moesa	Region Moesa	Region Moesa	Region Moesa
GR	CH056	1848	Region Plessur	Region Plessur	Region Plessur	Region Plessur
GR	CH056	1849	Region Prättigau / Davos	Region Prättigau / Davos	Region Prättigau / Davos	Region Prättigau / Davos
GR	CH056	1850	Region Surselva	Region Surselva	Region Surselva	Region Surselva
GR	CH056	1851	Region Viamala	Region Viamala	Region Viamala	Region Viamala
AG	CH033	1901	Bezirk Aarau	Bezirk Aarau	Bezirk Aarau	Bezirk Aarau
AG	CH033	1902	Bezirk Baden	Bezirk Baden	Bezirk Baden	Bezirk Baden
AG	CH033	1903	Bezirk Bremgarten	Bezirk Bremgarten	Bezirk Bremgarten	Bezirk Bremgarten
